query_id,product_id,query,product_title,text_a,text_b,label
84843,B09B1ZDVK6,qnap tvs,phs-memory 8gb ram módulo adecuado/adecuada para qnap tvs-672x-i3-8g ddr4 so dimm 2400mhz pc4-2400t-s,query: qnap tvs,passage: phs-memory 8gb ram módulo adecuado/adecuada para qnap tvs-672x-i3-8g ddr4 so dimm 2400mhz pc4-2400t-s,0
72139,B00K672EO2,namiki fountain pen,"kurtzy set de pluma estilografica estilo antiguo pluma de latón y madera, frascos de tinta y plumillas (19 piezas) - pluma escribir perfecta para estudiantes - set caligrafia creativa",query: namiki fountain pen,"passage: kurtzy set de pluma estilografica estilo antiguo pluma de latón y madera, frascos de tinta y plumillas (19 piezas) - pluma escribir perfecta para estudiantes - set caligrafia creativa",0
77308,B097N7VDLP,pajaro sin hogar,obra de arte para el hogar 40x60 cm 3 piezas sin marco abstracto dorado nieve montaña pájaro paisaje cartel pared arte lienzo pintura impresión imagen para sala de estar decoración del hogar,query: pajaro sin hogar,passage: obra de arte para el hogar 40x60 cm 3 piezas sin marco abstracto dorado nieve montaña pájaro paisaje cartel pared arte lienzo pintura impresión imagen para sala de estar decoración del hogar,0
18096,B08JX1C8CY,bolsa blanca papel,"fayunet- 100 bolsas de papel kraft, bolsa regalos,chuches,boda comunion,bocadillo,bolsitas para guardar mascarillas, sobres regalo bocadillos (120 x 210mm(100pcs))",query: bolsa blanca papel,"passage: fayunet- 100 bolsas de papel kraft, bolsa regalos,chuches,boda comunion,bocadillo,bolsitas para guardar mascarillas, sobres regalo bocadillos (120 x 210mm(100pcs))",0
100748,B07ZR67N9Z,tarjeta de red,"adaptador usb c a ethernet, tipo c a tarjeta de red gigabit ethernet 1000 mbp adaptador lan ethernet compatible con windows, google chromebook, macbook, samsung, hp, huawei matebook, dell",query: tarjeta de red,"passage: adaptador usb c a ethernet, tipo c a tarjeta de red gigabit ethernet 1000 mbp adaptador lan ethernet compatible con windows, google chromebook, macbook, samsung, hp, huawei matebook, dell",0
21153,B01F9RGF0M,cable iphone original apple,"amazon basics - cable conector usb a lightning (nailon trenzado, certificado por apple, 0,9 m), color plateado",query: cable iphone original apple,"passage: amazon basics - cable conector usb a lightning (nailon trenzado, certificado por apple, 0,9 m), color plateado",0
79268,B000PE4OVM,petanca niños 2 años,"gico juego de petanca de madera maciza, 8 bolas, diámetro 7 cm - 3011",query: petanca niños 2 años,"passage: gico juego de petanca de madera maciza, 8 bolas, diámetro 7 cm - 3011",0
1164,B07Z1RN1Z1,10 bolsas plastico transparente sin autocierre,latern 400 piezas bolsas de celofán transparente bolsas de tratamiento de sellado autoadhesivas bolsa de plástico opp (3 x 5 pulgadas),query: 10 bolsas plastico transparente sin autocierre,passage: latern 400 piezas bolsas de celofán transparente bolsas de tratamiento de sellado autoadhesivas bolsa de plástico opp (3 x 5 pulgadas),0
87467,B07RHWTYT6,rf 50mm 1.8,"canon rf 85mm f/1,2l usm objetivo (abertura máxima de f1.2, blue spectrum refractive, air sphere coating, anillo de control)",query: rf 50mm 1.8,"passage: canon rf 85mm f/1,2l usm objetivo (abertura máxima de f1.2, blue spectrum refractive, air sphere coating, anillo de control)",0
101356,B07XVL338B,television samsung 32 pulgadas smart tv,"televisor led 32 pulgadas hd, td systems k32dlx9h. resolución 1366 x 768, 3x hdmi, vga, usb reproductor y grabador.",query: television samsung 32 pulgadas smart tv,"passage: televisor led 32 pulgadas hd, td systems k32dlx9h. resolución 1366 x 768, 3x hdmi, vga, usb reproductor y grabador.",0
9536,B0991Y5WL6,aparador nordico blanco y madera,homcom estantería para libros librería de madera con 7 compartimentos de almacenaje plantas archivos para sala de estar dormitorio oficina 50x24x106 cm blanco,query: aparador nordico blanco y madera,passage: homcom estantería para libros librería de madera con 7 compartimentos de almacenaje plantas archivos para sala de estar dormitorio oficina 50x24x106 cm blanco,0
115575,B00EUFTT62,zeiss,"sony sel-1670 vario-tesslar t* e za oss - objetivo para sony/minolta (distancia focal 16-70mm, apertura f/4, estabilizador de imagen) color negro",query: zeiss,"passage: sony sel-1670 vario-tesslar t* e za oss - objetivo para sony/minolta (distancia focal 16-70mm, apertura f/4, estabilizador de imagen) color negro",0
76192,B07TYF59N4,organizador frigorífico latas,"kichly - juego de 6 organizador de despensa (1 bandeja para huevos y 5 compartimentos organizadores) - organizadores para nevera, cocina, armarios y encimeras (transparente) - sin bpa",query: organizador frigorífico latas,"passage: kichly - juego de 6 organizador de despensa (1 bandeja para huevos y 5 compartimentos organizadores) - organizadores para nevera, cocina, armarios y encimeras (transparente) - sin bpa",0
30578,B07D6P9XB1,cubre maletero mitsubishi montero,upgrade4cars fundas asientos coche negras poli-piel | funda asiento para delantero & trasero | accesorios coches interior decoracion,query: cubre maletero mitsubishi montero,passage: upgrade4cars fundas asientos coche negras poli-piel | funda asiento para delantero & trasero | accesorios coches interior decoracion,0
2656,B072BJVVJP,2 ruedas sin manillar,chicos - correpasillos con cuatro ruedas mini custom fucsia (la fábrica de juguetes 36007),query: 2 ruedas sin manillar,passage: chicos - correpasillos con cuatro ruedas mini custom fucsia (la fábrica de juguetes 36007),0
13148,B078SVSLVK,barbie chelsea caballos,"barbie chelsea muñeca morena, juguetes +3 años (mattel frl81)",query: barbie chelsea caballos,"passage: barbie chelsea muñeca morena, juguetes +3 años (mattel frl81)",0
101290,B08HXQPZP2,tela harry potter por metros,"tela algodon telas patchwork, eamoil 8 piezas 50 cm x 50 cm diy tela de algodón de dibujos animados de algodón para patchwork acolchado almohadas cojín",query: tela harry potter por metros,"passage: tela algodon telas patchwork, eamoil 8 piezas 50 cm x 50 cm diy tela de algodón de dibujos animados de algodón para patchwork acolchado almohadas cojín",0
30551,B07L9S578B,cuberterías 113 piezas,"zwilling set de cubiertos, 60 piezas, para 12 personas, acero inoxidable 18/10 acero de hoja de alta calidad, mate/pulido, roseland",query: cuberterías 113 piezas,"passage: zwilling set de cubiertos, 60 piezas, para 12 personas, acero inoxidable 18/10 acero de hoja de alta calidad, mate/pulido, roseland",0
91547,B07MZRM8T7,seguridad ordenador,kaisi torx destornillador t3 t4 t5 t6 t8 t9 t10 t15 seguridad torx drivers destornilladores magnéticos kit de reparación de precisión para xbox ps4 anillo timbre macbook ordenador,query: seguridad ordenador,passage: kaisi torx destornillador t3 t4 t5 t6 t8 t9 t10 t15 seguridad torx drivers destornilladores magnéticos kit de reparación de precisión para xbox ps4 anillo timbre macbook ordenador,0
105199,B07HRJ9L22,trenza colores con goma,"pascua de resurrección cabello lavables para niños,emooqi tizas para el pelo tiza de pelo temporal para niños para la edad 4 5 6 plus girls boys,10 tizas y 2 brillos, regalos para el carnaval festival",query: trenza colores con goma,"passage: pascua de resurrección cabello lavables para niños,emooqi tizas para el pelo tiza de pelo temporal para niños para la edad 4 5 6 plus girls boys,10 tizas y 2 brillos, regalos para el carnaval festival",0
50823,B01NBDYYAZ,hojas de dibujo profesional,"mp - block de dibujo, tamaño a4, 80 hojas de 110gr - 29.7x21 cm",query: hojas de dibujo profesional,"passage: mp - block de dibujo, tamaño a4, 80 hojas de 110gr - 29.7x21 cm",0
15454,B09FFDDQX6,bicicleta montaña pulgadas 27,"bicicletas de montaña bicicleta de montaña de 26 pulgadas,bicicleta de ciudad offroad de 27 velocidades con horquilla de suspensión con bloqueo,bicicleta de montaña con doble freno d(color:rojo negro)",query: bicicleta montaña pulgadas 27,"passage: bicicletas de montaña bicicleta de montaña de 26 pulgadas,bicicleta de ciudad offroad de 27 velocidades con horquilla de suspensión con bloqueo,bicicleta de montaña con doble freno d(color:rojo negro)",0
112278,B002EP7WX2,wisky macallan,the dalmore 12 años - whisky de malta escocés - 700 ml,query: wisky macallan,passage: the dalmore 12 años - whisky de malta escocés - 700 ml,0
78682,B00HFC7O14,peluches oso panda gigantes,"lumaland oso de peluche gigante teddy bear xxl - peluche grande amoroso con ojos de botón de 120 cm - regalo original para novios / san valentín - suave, resistente y cariñoso - marrón",query: peluches oso panda gigantes,"passage: lumaland oso de peluche gigante teddy bear xxl - peluche grande amoroso con ojos de botón de 120 cm - regalo original para novios / san valentín - suave, resistente y cariñoso - marrón",0
29190,B07L3LDSLD,correa para el cuello ajustable para guitarra,"wuudi 41“ bolsa de guitarra,funda de guitarra impermeable, con doble correa ajustable para el hombro, estuche de guitarra, negro",query: correa para el cuello ajustable para guitarra,"passage: wuudi 41“ bolsa de guitarra,funda de guitarra impermeable, con doble correa ajustable para el hombro, estuche de guitarra, negro",0
21978,B00V4OB0HI,camiseta hombre termica interior,"dim eco dim pack 3 camisetas para hombre, blanco, s",query: camiseta hombre termica interior,"passage: dim eco dim pack 3 camisetas para hombre, blanco, s",0
32581,8484322246,desigualdad wilkinson,las desigualdades perjudican,query: desigualdad wilkinson,passage: las desigualdades perjudican,0
93391,B074MJ3GJG,silla de escritorio sin brazos,"la silla española ribadeo silla de oficina sin reposacabezas, poliéster y rejilla, negro, 61x58x89 cm",query: silla de escritorio sin brazos,"passage: la silla española ribadeo silla de oficina sin reposacabezas, poliéster y rejilla, negro, 61x58x89 cm",0
10742,B07VS1NQYC,aspiradoras dyson,"cecotec aspirado conga rockstar 100 vital, aspirador sin cables 3 en 1: vertical, escoba y de mano, con motor digital brushless, 320w de potencia y 20 kpa, hasta 50 min de autonomía",query: aspiradoras dyson,"passage: cecotec aspirado conga rockstar 100 vital, aspirador sin cables 3 en 1: vertical, escoba y de mano, con motor digital brushless, 320w de potencia y 20 kpa, hasta 50 min de autonomía",0
42583,B07FGFHTG8,fresadora madera cnc,"afunta juego de 12 molinillos de corte de carburo para fresadora de punta fina, 4 piezas de 1/8 pulgadas cnc de doble flauta + 8 piezas 1 cortador de flauta de un solo borde para nailon",query: fresadora madera cnc,"passage: afunta juego de 12 molinillos de corte de carburo para fresadora de punta fina, 4 piezas de 1/8 pulgadas cnc de doble flauta + 8 piezas 1 cortador de flauta de un solo borde para nailon",0
1367,B07PHDXBG8,100 %algodon sin elastico,falary calcetines mujer hombre 10 pares cortos calcetines invisibles tobillero algodon silicona antideslizante verano-grisnegro-3538,query: 100 %algodon sin elastico,passage: falary calcetines mujer hombre 10 pares cortos calcetines invisibles tobillero algodon silicona antideslizante verano-grisnegro-3538,0
49751,B07GDR2PH9,headphones bluetooth bose 700,"sony wh1000xm3 - auriculares inalámbricos noise cancelling (bluetooth, compatible con alexa y google assistant, 30h de batería, óptimo para trabajar en casa, llamadas manos libres), plata",query: headphones bluetooth bose 700,"passage: sony wh1000xm3 - auriculares inalámbricos noise cancelling (bluetooth, compatible con alexa y google assistant, 30h de batería, óptimo para trabajar en casa, llamadas manos libres), plata",0
43391,B094PYPY12,fundas fitbit versa 3,"fengyiyuda nylon correa compatible con fitbit versa 2/versa/versa lite/versa se,elástico bandas suaves para relojes inteligentes, seporte hebillas ajustables,correas de repuesto,green arrow",query: fundas fitbit versa 3,"passage: fengyiyuda nylon correa compatible con fitbit versa 2/versa/versa lite/versa se,elástico bandas suaves para relojes inteligentes, seporte hebillas ajustables,correas de repuesto,green arrow",0
32361,B07RN2XNK1,denon dra-800h,"denon avrx2500 - receptor av para componentes de audio y vídeo, color negro",query: denon dra-800h,"passage: denon avrx2500 - receptor av para componentes de audio y vídeo, color negro",0
43309,B08NVGP188,funda para sofa cama sin brazos,"e ebeta cubiertas de sofá, funda de sofá 3 plaza + 3 fundas de cojín, tejido jacquard de poliéster y elastano, tunez funda sofá (gris oscuro, 3 plazas)",query: funda para sofa cama sin brazos,"passage: e ebeta cubiertas de sofá, funda de sofá 3 plaza + 3 fundas de cojín, tejido jacquard de poliéster y elastano, tunez funda sofá (gris oscuro, 3 plazas)",0
46619,B07H4Y9PG7,golf watch,"huawei watch gt sport - reloj (trusleep, gps, monitoreo del ritmo cardiaco), negro",query: golf watch,"passage: huawei watch gt sport - reloj (trusleep, gps, monitoreo del ritmo cardiaco), negro",0
82548,B094R8C84P,portatil con ssd y hdd,"lenovo ideapad 5 - ordenador portátil 15.6"" fullhd (intel core i7-1165g7, 16gb de ram, 512gb ssd, intel iris xe graphics, sin sistema operativo) gris - teclado qwerty español",query: portatil con ssd y hdd,"passage: lenovo ideapad 5 - ordenador portátil 15.6"" fullhd (intel core i7-1165g7, 16gb de ram, 512gb ssd, intel iris xe graphics, sin sistema operativo) gris - teclado qwerty español",0
280,B079J3131K,- iris & lilly sujetador sin tirantes,"marca amazon - iris & lilly sujetador sin aros con relleno mujer, beige (sand dollar), 95c, label: 36c",query: - iris & lilly sujetador sin tirantes,"passage: marca amazon - iris & lilly sujetador sin aros con relleno mujer, beige (sand dollar), 95c, label: 36c",0
39624,B07LBSRFN6,farmalastic sin puntera,"calzitaly medias con la punta abierta con compression graduada fuerte 18-22 mm/hg | s, m, l, xl | natural, negro | 140 den | made in italy (natural, s)",query: farmalastic sin puntera,"passage: calzitaly medias con la punta abierta con compression graduada fuerte 18-22 mm/hg | s, m, l, xl | natural, negro | 140 den | made in italy (natural, s)",0
78935,B01G4WDLPS,peque baby lucas,"vtech-80-186322 divertido girador interactivo, multicolor (3480-186322)",query: peque baby lucas,"passage: vtech-80-186322 divertido girador interactivo, multicolor (3480-186322)",0
71322,B092PPC6RW,msi sobremesa gaming,"beelink mini pc gk mini with intel j4125 procesador windows 10, 8g lpddr4 /256g ssd mini computadora, 4k uhd, 2.4g / 5g dual wifi, bt4.0, puertos duales hdmi, mini computadora de escritorio",query: msi sobremesa gaming,"passage: beelink mini pc gk mini with intel j4125 procesador windows 10, 8g lpddr4 /256g ssd mini computadora, 4k uhd, 2.4g / 5g dual wifi, bt4.0, puertos duales hdmi, mini computadora de escritorio",0
84216,B07HYW6MWW,pulseras rolex,pulsera viceroy fashion acero y piel trenzada para hombre 75068p01011,query: pulseras rolex,passage: pulsera viceroy fashion acero y piel trenzada para hombre 75068p01011,0
10674,B089TQDMJP,asics patriot niño,"asics jolt 3, road running shoe hombre, french blue/digital aqua, 42 eu",query: asics patriot niño,"passage: asics jolt 3, road running shoe hombre, french blue/digital aqua, 42 eu",0
26239,B07HQVT3WN,chándal nike,"nike m nk rpl acdmy jkt sport jacket, hombre, black/white/(white), xl",query: chándal nike,"passage: nike m nk rpl acdmy jkt sport jacket, hombre, black/white/(white), xl",0
60837,B01HTBVQSM,leche omega 3,"president leche desnatada, 6 x 1l",query: leche omega 3,"passage: president leche desnatada, 6 x 1l",0
92149,B078K3YWN3,sh figuarts,"bandai- figura articulada, manga, anime, multicolor (tamashii nations bdidb208778)",query: sh figuarts,"passage: bandai- figura articulada, manga, anime, multicolor (tamashii nations bdidb208778)",0
98952,B00OQB95JG,suelo de tarima,conjunto de montaje de suelo laminado marca unika,query: suelo de tarima,passage: conjunto de montaje de suelo laminado marca unika,0
22138,B0847S87XQ,camper runner up,"camper tws, zapatillas mujer, multi/assorted, 40 eu",query: camper runner up,"passage: camper tws, zapatillas mujer, multi/assorted, 40 eu",0
51803,B0987H5YFS,hr matic,"patabit mando garaje universal | mando puerta garaje universal de 4 canales, 433 mhz. copia todos los mandos originales de código fijo. frecuencia 433,92 mhz. no copie los códigos variable.",query: hr matic,"passage: patabit mando garaje universal | mando puerta garaje universal de 4 canales, 433 mhz. copia todos los mandos originales de código fijo. frecuencia 433,92 mhz. no copie los códigos variable.",0
66994,B079NLDWKR,melagyn gel hidratante interno con aplicador,"leilui gel contra la candidiasis genital 50 ml: gel desinfectante antibacteriano para una higiene íntima, efectivo para la picazón íntima, sequedad vaginal, fisuras anales",query: melagyn gel hidratante interno con aplicador,"passage: leilui gel contra la candidiasis genital 50 ml: gel desinfectante antibacteriano para una higiene íntima, efectivo para la picazón íntima, sequedad vaginal, fisuras anales",0
75896,B01BWVD02K,oral b calm pasta de dientes,"colgate sensation white pasta de dientes, 75ml",query: oral b calm pasta de dientes,"passage: colgate sensation white pasta de dientes, 75ml",0
36929,8417860797,el mundo sin nosotros,el infinito en un junco: la invención de los libros en el mundo antiguo: 105 (biblioteca de ensayo / serie mayor),query: el mundo sin nosotros,passage: el infinito en un junco: la invención de los libros en el mundo antiguo: 105 (biblioteca de ensayo / serie mayor),0
97792,B075NS2JP3,statement necklace,"bjb - collar muy extenso de 152,4 cm con piedras semipreciosas y un acabado mate",query: statement necklace,"passage: bjb - collar muy extenso de 152,4 cm con piedras semipreciosas y un acabado mate",0
15007,B007NJIQCU,bernina chicago 7,"singer quantum stylist 9960 - máquina de coser computarizada, 600 programas, color blanco",query: bernina chicago 7,"passage: singer quantum stylist 9960 - máquina de coser computarizada, 600 programas, color blanco",0
68848,B00CIUC5IU,microondas sin grill,"candy smart cmg2071ds, microondas con grill, 20l, digital, temporizador, 6 niveles potencia, 9 programas automáticos, plato giratorio 24,5cm, express cooking, 700w/900w, silver",query: microondas sin grill,"passage: candy smart cmg2071ds, microondas con grill, 20l, digital, temporizador, 6 niveles potencia, 9 programas automáticos, plato giratorio 24,5cm, express cooking, 700w/900w, silver",0
39981,B08CDT363B,fender telecaster,cahaya bolsa guitarra electrica acolchada 6mm funda para guitarra electrica para libros de música y accesorios con diseño reflectante,query: fender telecaster,passage: cahaya bolsa guitarra electrica acolchada 6mm funda para guitarra electrica para libros de música y accesorios con diseño reflectante,0
94560,B0874VX9H5,slush puppie machine,"vevor exprimidor de naranjas, 2000e-2x,máquina automática comercial de acero inoxidable,120 w,exprimidor electrico de naranjas44 kg maquinas de zumo de naranja, 50.8x50.8x88.9cm",query: slush puppie machine,"passage: vevor exprimidor de naranjas, 2000e-2x,máquina automática comercial de acero inoxidable,120 w,exprimidor electrico de naranjas44 kg maquinas de zumo de naranja, 50.8x50.8x88.9cm",0
56263,B07J1P31ZC,jomasi,gaveta apilable 52/236. lote 15 unidades,query: jomasi,passage: gaveta apilable 52/236. lote 15 unidades,0
9463,8430563075,antigua roma para niños,busca en egipto,query: antigua roma para niños,passage: busca en egipto,0
65557,B09FC9Y5KB,mantenerse activo,sopa de letras de la biblia: 101 rompecabezas para personas mayores y adultos. un regalo perfecto para mantener la mente activa y alimentarla con pensamientos positivos.,query: mantenerse activo,passage: sopa de letras de la biblia: 101 rompecabezas para personas mayores y adultos. un regalo perfecto para mantener la mente activa y alimentarla con pensamientos positivos.,0
105215,B00EUPZZ38,trhumaster t300 rs,thrustmaster tx racing wheel ferrari 458 italia edition - volante - xboxone / pc - force feedback - licencia oficial ferrari y xbox,query: trhumaster t300 rs,passage: thrustmaster tx racing wheel ferrari 458 italia edition - volante - xboxone / pc - force feedback - licencia oficial ferrari y xbox,0
93426,B019E9UJO4,sillas de escritorio sin ruedas,"venta stock confort 2 - sillón de oficina elevable y reclinable, piel sintética, color blanco",query: sillas de escritorio sin ruedas,"passage: venta stock confort 2 - sillón de oficina elevable y reclinable, piel sintética, color blanco",0
77990,8415317476,pasta fresca sin gluten,"cocina del mundo. pastas, hojaldres, brioches y otras masas",query: pasta fresca sin gluten,"passage: cocina del mundo. pastas, hojaldres, brioches y otras masas",0
32072,B07XD23SMT,decrafts,erh adornos estatuas decoraciones estatuilla escultura mini lindo 2 unids/set miniatura adorno muñeca miniatura metal puerta cerradura aldaba hardware llave diy decrafts regalos,query: decrafts,passage: erh adornos estatuas decoraciones estatuilla escultura mini lindo 2 unids/set miniatura adorno muñeca miniatura metal puerta cerradura aldaba hardware llave diy decrafts regalos,0
78024,B07L48DYBC,pastillas cloro piscina pequeña intex,"gre fdp250 - dosificador flotante para piscinas, para pastillas de 200 - 250 g",query: pastillas cloro piscina pequeña intex,"passage: gre fdp250 - dosificador flotante para piscinas, para pastillas de 200 - 250 g",0
24753,B06Y3X94PM,champu silver schwarzkopf,l'oreal silver shampoo 1500 ml 1 unidad 1500 ml,query: champu silver schwarzkopf,passage: l'oreal silver shampoo 1500 ml 1 unidad 1500 ml,0
36902,B08DBZDHKQ,el hombre mas rico de babilonia,todo empieza en ti,query: el hombre mas rico de babilonia,passage: todo empieza en ti,0
88163,B07Q9KDSKK,rodilleras niño,"17 piezas parches de planchado para videojuegos de super mario bros, parches bordados, parches para coser en ropa, chaquetas, mochilas, vaqueros",query: rodilleras niño,"passage: 17 piezas parches de planchado para videojuegos de super mario bros, parches bordados, parches para coser en ropa, chaquetas, mochilas, vaqueros",0
100898,B07JW1M8D5,taza sin asa,"paw patrol 864626 taza microondas 350ml patrulla canina 'comic' (18904), no aplica, rojo",query: taza sin asa,"passage: paw patrol 864626 taza microondas 350ml patrulla canina 'comic' (18904), no aplica, rojo",0
52068,B07F877X29,humus garbanzos,tahini pasta sésamo 100% - 454gr,query: humus garbanzos,passage: tahini pasta sésamo 100% - 454gr,0
71075,B011HMDZ0Q,mouse razer deathadder,"rat&oacute;n para juegos de pc redragon m602&nbsp;nemeanlion 3000&nbsp;dpi usb, 7&nbsp;botones, retroiluminaci&oacute;n led de 7 colores",query: mouse razer deathadder,"passage: rat&oacute;n para juegos de pc redragon m602&nbsp;nemeanlion 3000&nbsp;dpi usb, 7&nbsp;botones, retroiluminaci&oacute;n led de 7 colores",0
280,B06XKZY2N4,- iris & lilly sujetador sin tirantes,delimira - sujetador sin tirantes tallas grandes push up de silicona para mujer negro 100d,query: - iris & lilly sujetador sin tirantes,passage: delimira - sujetador sin tirantes tallas grandes push up de silicona para mujer negro 100d,0
80513,B0064OFW22,piruletas sin azucar,"chupa chups original, caramelo con palo de sabores variados, display de 50 unidades de 12 gr. (total 600 gr.)",query: piruletas sin azucar,"passage: chupa chups original, caramelo con palo de sabores variados, display de 50 unidades de 12 gr. (total 600 gr.)",0
69503,B07QPMLTVZ,mini recipientes acero,"flintronic taza de viaje, termo taza 500ml travel mug, frasco de vacío de acero inoxidable, pantalla led táctil inteligente con temperatura, térmica de doble pared, aislado al vacío - color negro",query: mini recipientes acero,"passage: flintronic taza de viaje, termo taza 500ml travel mug, frasco de vacío de acero inoxidable, pantalla led táctil inteligente con temperatura, térmica de doble pared, aislado al vacío - color negro",0
40086,B09DD8SYZL,fiambrera infantil sin bpa,"skyline cantimplora infantil 500 ml, botella aluminio para niños, térmica, con tapa hermética, sin bpa, para llevar a la escuela, parque, deportes etc",query: fiambrera infantil sin bpa,"passage: skyline cantimplora infantil 500 ml, botella aluminio para niños, térmica, con tapa hermética, sin bpa, para llevar a la escuela, parque, deportes etc",0
24773,B076HQXKFQ,chandal algodon hombre completo sin capucha,"adidas core18 tr top sudadera, hombre, power red/white, 2xl",query: chandal algodon hombre completo sin capucha,"passage: adidas core18 tr top sudadera, hombre, power red/white, 2xl",0
71548,B07Z525TBT,multifunções musculación,"oudort bandas elásticas musculacion, set de 4 1.8m bandas de resistencia fitness sin látex con anclaje puerta para hombre, mujer, ejercicios de musculares, glúteos, piernas, fémur y yoga en casa y gym",query: multifunções musculación,"passage: oudort bandas elásticas musculacion, set de 4 1.8m bandas de resistencia fitness sin látex con anclaje puerta para hombre, mujer, ejercicios de musculares, glúteos, piernas, fémur y yoga en casa y gym",0
64199,B087CB8V1R,lumatek 600w,the jungle - luminaria led the jackson 250w con espectro completo para cultivo indoor - fabricado en españa (250w),query: lumatek 600w,passage: the jungle - luminaria led the jackson 250w con espectro completo para cultivo indoor - fabricado en españa (250w),0
38014,B01GCWD1KU,escaner 3 d,xyzprinting 3f1asxeu01k impresora 3d da vinci 1.0 pro 3-en-1 printer,query: escaner 3 d,passage: xyzprinting 3f1asxeu01k impresora 3d da vinci 1.0 pro 3-en-1 printer,0
62496,B091N9D75C,lija chalk paint,chalk paint oliva 750 ml - sin cartar colorea fácilmente todos los materiales,query: lija chalk paint,passage: chalk paint oliva 750 ml - sin cartar colorea fácilmente todos los materiales,0
13533,B075MBDL7D,bateria apple watch 1 42mm,"choetech cargador inalámbrico, qi wireless charger [2 pack]",query: bateria apple watch 1 42mm,"passage: choetech cargador inalámbrico, qi wireless charger [2 pack]",0
81339,B07SRD5GGF,playstation now,fifa 20 - edición estándar (ps4),query: playstation now,passage: fifa 20 - edición estándar (ps4),0
21713,B077MKVS77,calzado seguridad,"puma viz runner, zapatillas de running hombre, negro black white, 44 eu",query: calzado seguridad,"passage: puma viz runner, zapatillas de running hombre, negro black white, 44 eu",0
51712,B08CRFM1VK,hp ips,"hp v24i - monitor de 23.8"" fhd (16:9, 1920 x 1080, 60 hz, 5 ms, 1 x hdmi 1.4, 1 x vga) negro",query: hp ips,"passage: hp v24i - monitor de 23.8"" fhd (16:9, 1920 x 1080, 60 hz, 5 ms, 1 x hdmi 1.4, 1 x vga) negro",0
82061,B07YG3J4XH,poncho blanco mujer,cnfio mujeres cárdigans chaqueta de punto jersey de suelta punto frente abierto,query: poncho blanco mujer,passage: cnfio mujeres cárdigans chaqueta de punto jersey de suelta punto frente abierto,0
