caso,consulta,producto,voto_Valeria_Hornung_1,voto_Alejandro,consenso,mayoria_humana,esci,juez
g08,filtro de gasoil renault trafic,bosch n1705 - filtro diésel para vehículos,0,0,0.0,0.0,0,0
g08,filtro de gasoil renault trafic,original mann-filter filtro de combustible wk 712/2 – para vehículos de utilidad,0,0,0.0,0.0,0,0
g03,ordenador sobremesa i5 16gb ram ssd,lumar ordenador gaming sobremesa/intel core i5 quad core 3.6ghz / 16gb ram / 960gb ssd + 2tb hdd/gráfica dedicada nvidia geforce gtx 750 ti 4gb / hdmi/usb 3.0 / wifi/windows 10 pro trial,1,1,1.0,1.0,1,0
g05,calcetines sin goma hombre,"puma quarter plain, calcetín unisex adulto, gris (anthraci/l mel grey), 35-38, (pack de 3)",0,0,0.0,0.0,0,0
g08,filtro de gasoil renault trafic,mann filter p 716/1 x filtro de combustible,0,0,0.0,0.0,1,0
g01,móvil xiaomi redmi note 7 negro,"xiaomi redmi note 7, smartphone, usb tipo c, adreno 512, android, negro (space black)",1,1,1.0,1.0,1,1
g09,apple accesorios,"lamavido® compatible for apple watch stand, lamavido soporte de iwatch soporte cargador madera de bambú para iphone 6 plus/6/5s/5/4s",0,0,0.0,0.0,0,0
g04,pasteles sin azucar,lázaro bizcocho de limón calado - 350 g,0,0,0.0,0.0,0,0
g07,libro lengua 3 primaria santillana,matematicas 3 primaria saber hacer contigo,0,0,0.0,0.0,0,0
g10,matrix triologia,ultimate matrix collection [10 [alemania] [dvd],1,1,1.0,1.0,0,0
g09,apple accesorios,"frtma magnetic sleeve for apple pencil, soft silicone holder grip for apple ipad pro pencil, ivory white (apple pencil not included)",0,0,0.0,0.0,1,0
g07,libro lengua 3 primaria santillana,cuaderno lengua 3 primaria 2 trim saber hacer contigo,0,0,0.0,0.0,1,0
g06,perfumes hombre versace eros,versace versace l'homme eau de toilette vaporizador 100 ml,0,0,0.0,0.0,0,1
g05,calcetines sin goma hombre,"puma quarter 3p - calcetines de deporte para hombre, color negro, talla 43-46 (3 pares)",0,0,0.0,0.0,1,0
g05,calcetines sin goma hombre,"vca pack de 6 calcetines lisos sin goma para hombre, calcetines diabéticos",1,1,1.0,1.0,1,0
g09,apple accesorios,apple cable de conector lightning a usb (1m),1,1,1.0,1.0,1,1
g10,matrix triologia,matrix - trilogy (3 blu-ray) [blu-ray],1,1,1.0,1.0,1,1
g08,filtro de gasoil renault trafic,original mann-filter filtro de aire c 3251/1- para automóviles,0,0,0.0,0.0,1,0
g07,libro lengua 3 primaria santillana,cuaderno lengua 3 primaria 3 trim saber hacer contigo,0,0,0.0,0.0,1,0
g09,apple accesorios,"omoton teclado bluetooth español ultra-delgado para ipad/ipad pro/ipad air/ipad mini/iphone y todas sistemas de ipados/ios, no se adapta a mac, macbook - blanco",0,0,0.0,0.0,0,0
g03,ordenador sobremesa i5 16gb ram ssd,"hp elite 8300 - ordenador de sobremesa (intel core i5-3470, 8gb de ram, disco ssd de 240gb, lector dvd, windows 10 pro es 64) - negro (reacondicionado)",0,0,0.0,0.0,0,1
g10,matrix triologia,matrix blu-ray digibook [blu-ray],0,0,0.0,0.0,0,0
g10,matrix triologia,matrix - la trilogia vinyl edition (3 blu-ray) [italia] [blu-ray],1,1,1.0,1.0,1,0
g01,móvil xiaomi redmi note 7 negro,"xiaomi redmi note 7 smartphones de 6.3'' pantalla completa, 4gb ram + 128gb rom, snapdragon 660 procesador octa-core, 13mp delantero y 48mp + 5mp doble cámara trasera teléfonos móviles (negro)",1,1,1.0,1.0,1,1
g06,perfumes hombre versace eros,eros para disco duro de los hombres de por el gigante - 100 ml eau de toilette de aerosol de la,1,0,,,1,0
g08,filtro de gasoil renault trafic,"mann-filterp 726 x original set de filtro de combustible con junta / juego de juntas, para automóviles y camiones",0,0,0.0,0.0,1,0
g02,funda xiaomi mi 9 con esquinas reforzadas,sleo funda para xiaomi mi 9 carcasa protectora silicona tpu [crystal clear] suave ultra delgada flexible case bumper con esquinas reforzadas antideslizante rasguño resistente cover - transparente,1,1,1.0,1.0,1,1
g07,libro lengua 3 primaria santillana,"vacaciones santillana, lengua, ortografía y gramática, 2 educación primaria. cuaderno - 9788429407570",0,0,0.0,0.0,0,0
g02,funda xiaomi mi 9 con esquinas reforzadas,spigen funda rugged armor compatible con xiaomi mi 9 - negro mate,0,0,0.0,0.0,1,1
g02,funda xiaomi mi 9 con esquinas reforzadas,ferilinso funda para xiaomi mi 9t pro/mi 9t [transparente tpu silicona carcasa] [10x anti-amarilleo] [compatible con la cristal templado protector de pantalla][anti-arañazos](transparente),0,0,0.0,0.0,0,0
g03,ordenador sobremesa i5 16gb ram ssd,"hp elitedesk800 g1 sff - ordenador de sobremesa (intel core i5-4570 3.2 ghz, 8gb de ram, disco ssd 240gb, lector dvd, windows 10 pro) negro (reacondicionado)",0,0,0.0,0.0,0,0
g04,pasteles sin azucar,"pasteles sin horno: 30 propuestas veganas, sin azúcar y sin gluten",0,0,0.0,0.0,1,0
g04,pasteles sin azucar,magdalenas sin azúcar y sin lactosa,1,0,,,1,0
g01,móvil xiaomi redmi note 7 negro,"xiaomi redmi note 7 smartphones de 6.3'' pantalla completa, 4gb ram + 64gb rom, snapdragon 660 procesador octa-core, 13mp delantero y 48mp + 5mp doble cámara trasera teléfonos móviles (negro)",1,1,1.0,1.0,1,1
g02,funda xiaomi mi 9 con esquinas reforzadas,"deconext funda xiaomi 9,mi 9 carcasa ultra slim anti-rasguño y resistente huellas dactilares protectora caso de duro cover case para xiaomi mi 9 6,39"" rosa suave",0,0,0.0,0.0,1,0
g09,apple accesorios,apple lightning digital av adapter,1,1,1.0,1.0,1,1
